Date;Open*;Close**;Market Cap
25.08.2018;19,04;19,14;210557600
26.08.2018;19,2;19,39;213242700
27.08.2018;19,36;19,96;219586400
28.08.2018;19,95;21,01;231093500
29.08.2018;21,06;20,77;228494200
30.08.2018;20,74;20,03;220322300
31.08.2018;20,04;19,67;216394200
1.09.2018;19,63;20,32;223491400
2.09.2018;20,37;20,21;222347400
3.09.2018;20,2;20,54;225941100
4.09.2018;20,59;20,71;227805600
5.09.2018;20,71;17,21;189339700
6.09.2018;17,2;16,53;181859700
7.09.2018;16,5;15,55;171055500
8.09.2018;15,55;14,25;156767600
9.09.2018;14,17;14,56;160169900
10.09.2018;14,56;14,13;155383800
11.09.2018;14,17;13,97;153626000
12.09.2018;13,98;13,26;145877600
13.09.2018;13,27;14,01;154149600
14.09.2018;13,97;13,53;148780500
15.09.2018;13,52;13,3;146268100
16.09.2018;13,32;13,5;148494500
17.09.2018;13,51;12,31;135451800
18.09.2018;12,31;12,63;138887100
19.09.2018;12,45;12,46;137042400
20.09.2018;12,46;13,16;144730300
21.09.2018;13,18;14,28;157062400
22.09.2018;14,25;13,57;149264500
23.09.2018;13,58;13,52;148731000
24.09.2018;13,54;13,23;145522300
25.09.2018;13,22;13,05;143596200
26.09.2018;13,09;12,83;141132200
27.09.2018;12,85;13,45;147957700
28.09.2018;13,45;13,21;145285800
29.09.2018;13,2;13,51;148618800
30.09.2018;13,53;13,42;147616700
1.10.2018;13,41;13,27;145926000
2.10.2018;13,25;13,24;145629000
3.10.2018;13,24;12,9;141908800
4.10.2018;12,89;12,9;141891200
5.10.2018;12,92;12,74;140090500
6.10.2018;12,77;12,61;138760600
7.10.2018;12,65;12,76;140411700
8.10.2018;12,81;13,16;144749000
9.10.2018;13,18;13,16;144750100
10.10.2018;13,13;13,29;146237300
11.10.2018;13,27;11,71;128836400
12.10.2018;11,56;11,79;129697700
13.10.2018;11,79;12,46;137071000
14.10.2018;12,37;12,05;132599500
15.10.2018;12,05;12,29;135201000
16.10.2018;12,29;12,64;139082900
17.10.2018;12,66;12,62;138864000
18.10.2018;12,66;12,51;137630900
19.10.2018;12,48;12,35;135880800
20.10.2018;12,37;12,59;138435000
